,dia_semana,horario,mortos,causa_acidente,municipio,tipo_veiculo
17761,terça-feira,10:20:00,0,Velocidade Incompatível,TROMBUDO CENTRAL,Automóvel
17762,terça-feira,12:44:00,0,Ausência de sinalização,IMBITUBA,Automóvel
17763,terça-feira,12:44:00,0,Ausência de sinalização,IMBITUBA,Caminhonete
17764,terça-feira,12:44:00,0,Ausência de sinalização,IMBITUBA,Automóvel
17765,terça-feira,12:44:00,0,Ausência de sinalização,IMBITUBA,Automóvel
17766,terça-feira,12:44:00,0,Ausência de sinalização,IMBITUBA,Automóvel
17767,terça-feira,13:30:00,0,Condutor deixou de manter distância do veículo da frente,PALHOCA,Camioneta
17768,terça-feira,13:30:00,0,Condutor deixou de manter distância do veículo da frente,PALHOCA,Automóvel
17769,terça-feira,13:30:00,0,Condutor deixou de manter distância do veículo da frente,PALHOCA,Automóvel
17770,terça-feira,13:30:00,0,Condutor deixou de manter distância do veículo da frente,PALHOCA,Automóvel
17771,terça-feira,13:30:00,0,Condutor deixou de manter distância do veículo da frente,PALHOCA,Automóvel
17772,terça-feira,13:30:00,0,Condutor deixou de manter distância do veículo da frente,PALHOCA,Automóvel
17773,terça-feira,14:15:00,0,Acessar a via sem observar a presença dos outros veículos,ARAQUARI,Camioneta
